Transecto	Zona	Zona2	Muestra	A450nm	A653nm	A0.24x653nm	A450-0.24x653	Area_petalo	Abs_corrected_area
1	H	H1	146	0.1444	0.017	0.00408	0.1274	6.26	0.020351438
1	H	H1	147	0.1546	0.1145	0.02748	0.0401	6.98	0.005744986
1	H	H1	148	0.0339	0.0091	0.002184	0.0248	6.66	0.003723724
1	H	H1	149	0.0454	0.0196	0.004704	0.0258	5.99	0.004307179
1	H	H1	150	0.0361	0.0202	0.004848	0.0159	6.09	0.002610837
1	H	H1	152	0.0267	0.0123	0.002952	0.0144	6.48	0.002222222
1	H	H1	153	0.082	0.0582	0.013968	0.0238	6.46	0.003684211
1	H	H1	155	0.0337	0.0153	0.003672	0.0184	4.93	0.003732252
1	H	H1	156	0.1809	0.1471	0.035304	0.0338	6.35	0.005322835
1	H	H1	158	0.0353	0.0101	0.002424	0.0252	7.7	0.003272727
